"","proprietario","scale.TempoRelacionamento.","scale.idade.","scale.ScoreSerasa.","Quitaçãointegal","QuitaçãoParceladoDA","QuitaçãoParceladoExercicio","Pagamentparcial","Pagamentsem.pagamento","NaturezaDívidaFraude","NaturezaDívidaGrandeDevedor","AtrasoAnterior","RespSolidaria","negociaçãoanteior","scale.protestos.","scale.dividasexecutadas.","scale.dividasDA.","scale.regularidadeAcessorias.","scale.BencajudREnajud.","prescricao","precatResInd","saldodevedor","y"
"1",0,0.331745417597575,0.956012967070561,0.388432685054123,1,0,0,1,0,1,0,0,1,1,0.982236108186834,-0.00337164546318658,-0.983881160194824,0.999150358479104,-0.994763708052689,1,0,0.148445850936696,1
"2",0,-1.31288885601127,0.0733048932235663,-1.72551985723416,1,0,0,1,0,0,1,1,1,0,-1.00027697726444,0.988288784885789,-0.983881160194824,-1.00075027898908,1.00516332864351,1,1,0.779427047120407,0
"3",1,-0.97261969595427,-0.408172237965704,-0.83048558479909,0,0,1,1,0,0,1,1,1,1,-1.00027697726444,-0.00337164546318658,-0.983881160194824,0.999150358479104,-0.994763708052689,1,0,0.372018518391997,0
"4",1,1.35255289776858,0.394289647349746,0.593907479115093,0,1,0,0,1,0,1,0,1,0,-1.00027697726444,-0.995032075812162,0.0234713126165039,0.999150358479104,1.00516332864351,0,1,0.954986735945567,1
"5",1,0.615303050978411,-0.969895557686518,-1.03596037886006,1,0,0,0,1,0,1,0,0,1,-0.0090204345388034,-0.995032075812162,2.03817625823916,-1.00075027898908,1.00516332864351,0,0,0.270449860719964,0
"6",0,0.104899310892906,-0.568664615028794,0.660077328049982,1,0,0,1,0,0,1,1,0,0,-1.00027697726444,-0.00337164546318658,0.0234713126165039,0.999150358479104,1.00516332864351,1,0,0.939713811036199,0
"7",1,0.501879997626076,-0.648910803560338,-1.23446992566473,0,0,1,1,0,0,1,0,1,0,-1.00027697726444,-0.00337164546318658,-0.983881160194824,-1.00075027898908,1.00516332864351,1,0,0.584854337852448,0
"8",1,0.955572211035414,-1.2908803118127,-1.55487129945471,0,1,0,0,1,0,1,0,1,1,-0.0090204345388034,-0.995032075812162,3.04552873105049,0.999150358479104,1.00516332864351,0,1,0.169156228192151,0
"9",1,0.0481877842167391,0.715274401475926,-0.907103304618434,1,0,0,1,0,1,0,0,1,1,-1.00027697726444,-0.995032075812162,1.03082378542783,-1.00075027898908,-0.994763708052689,1,0,0.941692817490548,0
"10",1,-0.632350535897267,-0.408172237965704,-1.23795254929288,0,0,1,0,1,1,0,1,0,0,-0.0090204345388034,-0.00337164546318658,-0.983881160194824,-1.00075027898908,-0.994763708052689,1,0,0.256648140959442,0
"11",0,1.57939900447325,1.35724390972829,0.0680313112641359,1,0,0,1,0,1,0,0,0,0,-1.00027697726444,-0.00337164546318658,-0.983881160194824,0.999150358479104,-0.994763708052689,1,1,0.709058975800872,1
"12",1,0.218322364245241,1.03625915560211,-0.0991346228871619,0,0,1,0,1,0,1,1,1,1,0.982236108186834,-0.00337164546318658,-0.983881160194824,-1.00075027898908,-0.994763708052689,0,0,0.978544729528949,1
